hospital,procedure_name,code_type,code,description,setting,display_price,display_price_type,gross_price,cash_price,negotiated_price,negotiated_min,negotiated_max,payer_name,plan_name,data_quality_flag,user_relevance_flag,user_relevance_reason,source_url,evidence_source
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,3124.66,negotiated,4058.0,2231.9,3124.66,164.02,5478.3,BPS - BENEFIT PLAN SERVICES [1015],MULTIPLAN,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,486.96,negotiated,4058.0,2231.9,486.96,164.02,5478.3,MC ANTHEM BLUE CROSS GENERIC PAYOR [164009],UC MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1589.92,negotiated,4058.0,2231.9,1589.92,164.02,5478.3,ALTERNATE BLUE CROSS [1005],"BLUE CROSS OF CALIFORNIA SELECT HMO, EXCHANGE HMO",ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1623.2,negotiated,4058.0,2231.9,1623.2,164.02,5478.3,ELIZABETH HOSPICE [2018],ELIZABETH HOSPICE GIP,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,3043.5,negotiated,4058.0,2231.9,3043.5,164.02,5478.3,FIRST HEALTH [1032],FIRST HEALTH,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,BRAND NEW DAY [1089],MEDI-CAL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,486.96,negotiated,4058.0,2231.9,486.96,164.02,5478.3,MC HEALTHNET GENERIC PAYOR [164010],UC MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2840.6,negotiated,4058.0,2231.9,2840.6,164.02,5478.3,INTERPLAN [1045],INTERPLAN,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,1589.92,negotiated,4058.0,2231.9,1589.92,164.02,5478.3,BLUE CROSS [1013],"BLUE CROSS OF CALIFORNIA SELECT HMO, EXCHANGE HMO",ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,266.8,negotiated,4058.0,2231.9,266.8,164.02,5478.3,ALTERNATE MEDI-CAL [2001],MEDI-CAL,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,4058.0,negotiated,4058.0,2231.9,4058.0,164.02,5478.3,CHARGERS FOOTBALL COMPANY [1109],CHARGER FOOTBALL COMPANY [11090001],ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,486.96,negotiated,4058.0,2231.9,486.96,164.02,5478.3,MC UNITED HEALTHCARE GENERIC PAYOR [164011],UC MANAGED CARE,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
UC San Diego Medical Center,MRI spine,CPT,72148,Mri Scan Of Lower Spinal Canal,both,2451.03,negotiated,4058.0,2231.9,2451.03,164.02,5478.3,BLUE SHIELD [1014],BLUE SHIELD OF CA PPO AND BARIATRIC,ok,display_ok,,https://hsfiles.ucsd.edu/patientBilling/UC-San-Diego-Standard-Charges-956006144.json,targeted_cpt_dry_run
